"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 08 17:43:49 UTC 2023","Sun Oct 08 17:43:51 UTC 2023","2267","","br.com.automacaodozero.RegisterTest","","br.com.automacaodozero.RegisterTest","TC_001_CadastroUsuarioComDadosValidosComSucesso","TC_001_CadastroUsuarioComDadosValidosComSucesso",""
"passed","Sun Oct 08 17:43:41 UTC 2023","Sun Oct 08 17:43:43 UTC 2023","2164","","br.com.automacaodozero.LoginTest","","br.com.automacaodozero.LoginTest","TC_015_LoginComEmailVazio","TC_015_LoginComEmailVazio",""
"passed","Sun Oct 08 17:44:08 UTC 2023","Sun Oct 08 17:44:11 UTC 2023","2641","","br.com.automacaodozero.RegisterTest","","br.com.automacaodozero.RegisterTest","TC_006_CadastroComSenhaVazia","TC_006_CadastroComSenhaVazia",""
"passed","Sun Oct 08 17:43:58 UTC 2023","Sun Oct 08 17:44:01 UTC 2023","2189","","br.com.automacaodozero.RegisterTest","","br.com.automacaodozero.RegisterTest","TC_002_CadastroDeUsuarioComEmailInvalido","TC_002_CadastroDeUsuarioComEmailInvalido",""
"failed","Sun Oct 08 17:44:01 UTC 2023","Sun Oct 08 17:44:03 UTC 2023","2660","","br.com.automacaodozero.RegisterTest","","br.com.automacaodozero.RegisterTest","TC_009_CadastroComEmailExistente","TC_009_CadastroComEmailExistente",""
"passed","Sun Oct 08 17:43:47 UTC 2023","Sun Oct 08 17:43:49 UTC 2023","2040","","br.com.automacaodozero.LoginTest","","br.com.automacaodozero.LoginTest","TC_014_LoginComSenhaInvalida","TC_014_LoginComSenhaInvalida",""
"passed","Sun Oct 08 17:44:11 UTC 2023","Sun Oct 08 17:44:14 UTC 2023","2546","","br.com.automacaodozero.RegisterTest","","br.com.automacaodozero.RegisterTest","TC_004_CadastroComNomeVazio","TC_004_CadastroComNomeVazio",""
"passed","Sun Oct 08 17:43:39 UTC 2023","Sun Oct 08 17:43:41 UTC 2023","2084","","br.com.automacaodozero.LoginTest","","br.com.automacaodozero.LoginTest","TC_013_LoginComSenhaVazia","TC_013_LoginComSenhaVazia",""
"passed","Sun Oct 08 17:43:36 UTC 2023","Sun Oct 08 17:43:39 UTC 2023","2219","","br.com.automacaodozero.LoginTest","","br.com.automacaodozero.LoginTest","TC_012_LoginSemPreencherEmailESenha","TC_012_LoginSemPreencherEmailESenha",""
"passed","Sun Oct 08 17:44:06 UTC 2023","Sun Oct 08 17:44:08 UTC 2023","2890","","br.com.automacaodozero.RegisterTest","","br.com.automacaodozero.RegisterTest","TC_010_VerificarOcultacaoDeSenha","TC_010_VerificarOcultacaoDeSenha",""
"passed","Sun Oct 08 17:43:03 UTC 2023","Sun Oct 08 17:43:36 UTC 2023","33559","","br.com.automacaodozero.LoginTest","","br.com.automacaodozero.LoginTest","TC_016_LoginComEmailInvalido","TC_016_LoginComEmailInvalido",""
"passed","Sun Oct 08 17:43:43 UTC 2023","Sun Oct 08 17:43:47 UTC 2023","4250","","br.com.automacaodozero.LoginTest","","br.com.automacaodozero.LoginTest","TC_017_LoginComEmailESenhaValidas","TC_017_LoginComEmailESenhaValidas",""
"passed","Sun Oct 08 17:43:56 UTC 2023","Sun Oct 08 17:43:58 UTC 2023","2390","","br.com.automacaodozero.RegisterTest","","br.com.automacaodozero.RegisterTest","TC_007_CadastroComConfirmacaoDeSenhaVazia","TC_007_CadastroComConfirmacaoDeSenhaVazia",""
"passed","Sun Oct 08 17:43:51 UTC 2023","Sun Oct 08 17:43:54 UTC 2023","2425","","br.com.automacaodozero.RegisterTest","","br.com.automacaodozero.RegisterTest","TC_008_CadastroComConfirmacaoDeSenhaDiferente","TC_008_CadastroComConfirmacaoDeSenhaDiferente",""
"failed","Sun Oct 08 17:43:54 UTC 2023","Sun Oct 08 17:43:56 UTC 2023","2052","","br.com.automacaodozero.RegisterTest","","br.com.automacaodozero.RegisterTest","TC_003_CadastroDeUsuarioComNomeInvalido","TC_003_CadastroDeUsuarioComNomeInvalido",""
"passed","Sun Oct 08 17:44:03 UTC 2023","Sun Oct 08 17:44:06 UTC 2023","2351","","br.com.automacaodozero.RegisterTest","","br.com.automacaodozero.RegisterTest","TC_005_CadastroComEmailVazio","TC_005_CadastroComEmailVazio",""
